"filename", "language", "C", "C++", "Java", "comment", "blank", "total"
"c:\cpp\cpp\abc\454_C_Straw Millionaire.cpp", "C++", 0, -33, 0, 0, -7, -40
"c:\cpp\cpp\abc\454_D_ (xx).cpp", "C++", 0, -36, 0, 0, -9, -45
"c:\cpp\cpp\abc\455_A_455.cpp", "C++", 0, -10, 0, 0, -3, -13
"c:\cpp\cpp\abc\455_B_Spiral Galaxy.cpp", "C++", 0, -53, 0, 0, -14, -67
"c:\cpp\cpp\abc\455_C_Vanish .cpp", "C++", 0, -39, 0, 0, -13, -52
"c:\cpp\cpp\abc\455_D_ Card Pile Query.cpp", "C++", 0, -44, 0, 0, -14, -58
"c:\cpp\cpp\abc\455_E_ Unbalanced ABC Substrings.cpp", "C++", 0, -49, 0, 0, -19, -68
"c:\cpp\cpp\abc\456_A_Dice.cpp", "C++", 0, -9, 0, 0, -4, -13
"c:\cpp\cpp\abc\456_B_456.cpp", "C++", 0, -37, 0, 0, -6, -43
"c:\cpp\cpp\abc\456_C_ Not Adjacent.cpp", "C++", 0, -32, 0, 0, -9, -41
"c:\cpp\cpp\abc\456_D_ Not Adjacent 2.cpp", "C++", 0, -30, 0, 0, -7, -37
"c:\cpp\cpp\abc\456_E_ Endless Holidays.cpp", "C++", 0, -60, 0, 0, -16, -76
"c:\cpp\cpp\杭电周赛\0001_最大的公约数.cpp", "C++", 0, -41, 0, 0, -8, -49
"c:\cpp\cpp\杭电周赛\0002_雪蜜冰城柠檬茶的神秘成分魔法.cpp", "C++", 0, -77, 0, 0, -10, -87
"c:\cpp\cpp\杭电周赛\0003_杂草蔓延.cpp", "C++", 0, -22, 0, 0, -3, -25
"c:\cpp\cpp\杭电周赛\0007_最大三段和.cpp", "C++", 0, -39, 0, 0, -11, -50
"c:\cpp\cpp\杭电周赛\0009_临渊羡鱼.cpp", "C++", 0, -20, 0, 0, -5, -25
"c:\cpp\cpp\杭电周赛\0010_收买时间.cpp", "C++", 0, -85, 0, -1, -23, -109
"c:\cpp\cpp\杭电周赛\1005_大户爱的开根.cpp", "C++", 0, -48, 0, 0, -9, -57
"c:\cpp\cpp\杭电周赛\1006_巧克力工厂.cpp", "C++", 0, -39, 0, 0, -9, -48
"c:\cpp\cpp\杭电周赛\1008_大户爱的gcd.cpp", "C++", 0, -45, 0, 0, -2, -47
"c:\cpp\cpp\杭电周赛\1009_力的平衡.cpp", "C++", 0, -66, 0, 0, -18, -84
"c:\cpp\cpp\杭电周赛\2004_三途川畔.cpp", "C++", 0, -30, 0, 0, -2, -32
"c:\cpp\cpp\杭电周赛\2006_姐妹共读.cpp", "C++", 0, -31, 0, 0, -2, -33
"c:\cpp\cpp\杭电周赛\2008_古都茶叙.cpp", "C++", 0, -43, 0, 0, -7, -50
"c:\cpp\cpp\杭电周赛\2009_微缩庭园.cpp", "C++", 0, -22, 0, 0, -2, -24
"c:\cpp\cpp\杭电周赛\3001_河城杂货.cpp", "C++", 0, -54, 0, 0, -9, -63
"c:\cpp\cpp\杭电周赛\3003_3X3安全箱.cpp", "C++", 0, -51, 0, 0, -11, -62
"c:\cpp\cpp\杭电周赛\3004_式神契约论.cpp", "C++", 0, -30, 0, 0, -5, -35
"c:\cpp\cpp\杭电周赛\3007_扑克牌.cpp", "C++", 0, -41, 0, 0, -10, -51
"c:\cpp\cpp\杭电周赛\4004_左右脑互搏.cpp", "C++", 0, -47, 0, -5, -12, -64
"c:\cpp\cpp\杭电周赛\4007_Turn Of A Page.cpp", "C++", 0, -28, 0, 0, -10, -38
"c:\cpp\cpp\杭电周赛\4008_谁输谁洗碗.cpp", "C++", 0, -56, 0, 0, -12, -68
"c:\cpp\cpp\杭电周赛\4010_Sort.cpp", "C++", 0, -46, 0, 0, -9, -55
"c:\cpp\cpp\杭电周赛\5003_马蹄疾.cpp", "C++", 0, -22, 0, 0, -7, -29
"c:\cpp\cpp\杭电周赛\5005_老骥伏枥.cpp", "C++", 0, -20, 0, 0, -6, -26
"c:\cpp\cpp\杭电周赛\6003_绩点查询.cpp", "C++", 0, -27, 0, 0, -10, -37
"c:\cpp\cpp\杭电周赛\6005_向量压缩.cpp", "C++", 0, -37, 0, 0, -11, -48
"c:\cpp\cpp\杭电周赛\6007_不开心世纪.cpp", "C++", 0, -46, 0, 0, -12, -58
"c:\cpp\cpp\洛谷刷题训练\1.1_金币.cpp", "C++", 0, -24, 0, 0, -7, -31
"c:\cpp\cpp\洛谷刷题训练\1.2_接水问题.cpp", "C++", 0, -22, 0, 0, -9, -31
"c:\cpp\cpp\洛谷刷题训练\1.3_最接近神的人.cpp", "C++", 0, -41, 0, 0, -12, -53
"c:\cpp\cpp\洛谷刷题训练\1.4_搭配购买.cpp", "C++", 0, -75, 0, 0, -16, -91
"c:\cpp\cpp\洛谷刷题训练\2.1_棋盘问题.cpp", "C++", 0, -26, 0, 0, -16, -42
"c:\cpp\cpp\洛谷刷题训练\2.2_ 混合牛奶 Mixing Milk.cpp", "C++", 0, -70, 0, 0, -17, -87
"c:\cpp\cpp\洛谷刷题训练\2.3_ 开心的金明.cpp", "C++", 0, -54, 0, 0, -14, -68
"c:\cpp\cpp\洛谷刷题训练\2.4_借教室.cpp", "C++", 0, -79, 0, 0, -21, -100
"c:\cpp\cpp\洛谷刷题训练\3.1_Phone numbers.cpp", "C++", 0, -43, 0, 0, -7, -50
"c:\cpp\cpp\洛谷刷题训练\3.2_zzc 种田.cpp", "C++", 0, -20, 0, 0, -9, -29
"c:\cpp\cpp\洛谷刷题训练\3.3_信息传递.cpp", "C++", 0, -47, 0, 0, -13, -60
"c:\cpp\cpp\洛谷刷题训练\3.4_Decrease.cpp", "C++", 0, -46, 0, 0, -11, -57
"c:\cpp\cpp\洛谷刷题训练\4.1_陶陶摘苹果.cpp", "C++", 0, -13, 0, 0, -6, -19
"c:\cpp\cpp\洛谷刷题训练\4.2_陶陶摘苹果（升级版）.cpp", "C++", 0, -29, 0, 0, -9, -38
"c:\cpp\cpp\洛谷刷题训练\4.3_Music Notes S.cpp", "C++", 0, -28, 0, 0, -8, -36
"c:\cpp\cpp\洛谷刷题训练\4.4_字串变换.cpp", "C++", 0, -43, 0, 0, -14, -57
"c:\cpp\cpp\洛谷刷题训练\5.1_优秀的拆分.cpp", "C++", 0, -33, 0, 0, -9, -42
"c:\cpp\cpp\洛谷刷题训练\5.2_删数问题.cpp", "C++", 0, -26, 0, 0, -6, -32
