Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 594 files,  24530 codes, 398 comments, 6216 blanks, all 31144 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        589 |     24,367 |        391 |      6,183 |     30,941 |
| Java     |          5 |        163 |          7 |         33 |        203 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\cpp\cpp\abc\446\446_A_Handmaid.cpp                              | C++      |         12 |          0 |          4 |         16 |
| c:\cpp\cpp\abc\446\446_B_Greedy Draft.cpp                          | C++      |         28 |          0 |          6 |         34 |
| c:\cpp\cpp\abc\446\446_C_Omelette Restaurant.cpp                   | C++      |         38 |          3 |          8 |         49 |
| c:\cpp\cpp\abc\446\446_D_Max Straight.cpp                          | C++      |         20 |          0 |          5 |         25 |
| c:\cpp\cpp\abc\447\447_A_ Seats 2.cpp                              | C++      |         11 |          0 |          5 |         16 |
| c:\cpp\cpp\abc\447\447_B_mpp.cpp                                   | C++      |         21 |          0 |          4 |         25 |
| c:\cpp\cpp\abc\447\447_C_Insert and Erase A.cpp                    | C++      |         70 |          0 |         10 |         80 |
| c:\cpp\cpp\abc\447\447_D_Take ABC 2.cpp                            | C++      |         36 |          0 |          5 |         41 |
| c:\cpp\cpp\abc\448\448_A_chmin.cpp                                 | C++      |         21 |          0 |          3 |         24 |
| c:\cpp\cpp\abc\448\448_B_Pepper Addiction.cpp                      | C++      |         32 |          0 |          7 |         39 |
| c:\cpp\cpp\abc\448\448_C_Except and Min.cpp                        | C++      |         46 |          0 |         13 |         59 |
| c:\cpp\cpp\abc\448\448_D_Integer-duplicated Path.cpp               | C++      |         34 |          0 |         10 |         44 |
| c:\cpp\cpp\abc\449\449_A_π.cpp                                     | C++      |         10 |          0 |          1 |         11 |
| c:\cpp\cpp\abc\449\449_B_Deconstruct Chocolate.cpp                 | C++      |         24 |          0 |          3 |         27 |
| c:\cpp\cpp\abc\449\449_C_Comfortable Distance.cpp                  | C++      |         26 |          0 |          7 |         33 |
| c:\cpp\cpp\abc\450\450_A_3,2,1,GO.cpp                              | C++      |         19 |          0 |          2 |         21 |
| c:\cpp\cpp\abc\450\450_B_Split Ticketing.cpp                       | C++      |         27 |          0 |          5 |         32 |
| c:\cpp\cpp\abc\450\450_C_Puddles.cpp                               | C++      |         44 |          0 |         10 |         54 |
| c:\cpp\cpp\abc\450\450_D_Minimize Range.cpp                        | C++      |         21 |          0 |          5 |         26 |
| c:\cpp\cpp\abc\451\451_A_illegal.cpp                               | C++      |         11 |          0 |          2 |         13 |
| c:\cpp\cpp\abc\451\451_B_Personnel Change.cpp                      | C++      |         19 |          0 |          3 |         22 |
| c:\cpp\cpp\abc\451\451_C_ Understory.cpp                           | C++      |         28 |          0 |          3 |         31 |
| c:\cpp\cpp\abc\451\451_D_ Concat Power of 2.cpp                    | C++      |         48 |          0 |          9 |         57 |
| c:\cpp\cpp\abc\451\451_E_Tree Distance.cpp                         | C++      |         40 |          0 |         10 |         50 |
| c:\cpp\cpp\abc\452\452_A_Gothec.cpp                                | C++      |         11 |          0 |          2 |         13 |
| c:\cpp\cpp\abc\452\452_B_Draw Frame.cpp                            | C++      |         26 |          0 |          3 |         29 |
| c:\cpp\cpp\abc\452\452_C_Fishbones.cpp                             | C++      |         45 |          0 |         10 |         55 |
| c:\cpp\cpp\abc\452\452_D_ No-Subsequence Substring.cpp             | C++      |         48 |          0 |         12 |         60 |
| c:\cpp\cpp\abc\453\453_A_Trimo.cpp                                 | C++      |         14 |          0 |          4 |         18 |
| c:\cpp\cpp\abc\453\453_B_Sensor Data Logging.cpp                   | C++      |         26 |          0 |          8 |         34 |
| c:\cpp\cpp\abc\453\453_C_Sneaking Glances.cpp                      | C++      |         29 |          0 |          7 |         36 |
| c:\cpp\cpp\abc\453\453_D_Go Straight.cpp                           | C++      |         85 |          0 |         11 |         96 |
| c:\cpp\cpp\abc\454\454_A_Closed interval.cpp                       | C++      |          9 |          0 |          3 |         12 |
| c:\cpp\cpp\abc\454\454_B_Mapping .cpp                              | C++      |         26 |          0 |          6 |         32 |
| c:\cpp\cpp\abc\454\454_C_Straw Millionaire.cpp                     | C++      |         33 |          0 |          7 |         40 |
| c:\cpp\cpp\abc\454\454_D_ (xx).cpp                                 | C++      |         36 |          0 |          9 |         45 |
| c:\cpp\cpp\abc\455\455_A_455.cpp                                   | C++      |         10 |          0 |          3 |         13 |
| c:\cpp\cpp\abc\455\455_B_Spiral Galaxy.cpp                         | C++      |         53 |          0 |         14 |         67 |
| c:\cpp\cpp\abc\455\455_C_Vanish .cpp                               | C++      |         39 |          0 |         13 |         52 |
| c:\cpp\cpp\abc\455\455_D_ Card Pile Query.cpp                      | C++      |         44 |          0 |         14 |         58 |
| c:\cpp\cpp\abc\455\455_E_ Unbalanced ABC Substrings.cpp            | C++      |         49 |          0 |         19 |         68 |
| c:\cpp\cpp\abc\456\456_A_Dice.cpp                                  | C++      |          9 |          0 |          4 |         13 |
| c:\cpp\cpp\abc\456\456_B_456.cpp                                   | C++      |         37 |          0 |          6 |         43 |
| c:\cpp\cpp\abc\456\456_C_ Not Adjacent.cpp                         | C++      |         32 |          0 |          9 |         41 |
| c:\cpp\cpp\abc\456\456_D_ Not Adjacent 2.cpp                       | C++      |         30 |          0 |          7 |         37 |
| c:\cpp\cpp\abc\456\456_E_ Endless Holidays.cpp                     | C++      |         60 |          0 |         16 |         76 |
| c:\cpp\cpp\abc\457\457_A_Array.cpp                                 | C++      |         12 |          0 |          3 |         15 |
| c:\cpp\cpp\abc\457\457_B_ Arrays.cpp                               | C++      |         17 |          0 |          5 |         22 |
| c:\cpp\cpp\abc\457\457_C_ Long Sequence .cpp                       | C++      |         46 |          0 |         12 |         58 |
| c:\cpp\cpp\abc\457\457_D_Raise Minimum.cpp                         | C++      |         44 |          0 |         11 |         55 |
| c:\cpp\cpp\abc\458\458_A_Chompers.cpp                              | C++      |         23 |          0 |          7 |         30 |
| c:\cpp\cpp\abc\458\458_B_Count Adjacent Cells.cpp                  | C++      |         65 |          0 |         10 |         75 |
| c:\cpp\cpp\abc\458\458_C_C Stands for Center.cpp                   | C++      |         28 |          0 |          9 |         37 |
| c:\cpp\cpp\abc\458\458_D_Chalkboard Median.cpp                     | C++      |         43 |          0 |         10 |         53 |
| c:\cpp\cpp\abc\459\459_A_ Hell, World!.cpp                         | C++      |         27 |          0 |          7 |         34 |
| c:\cpp\cpp\abc\459\459_B_459.cpp                                   | C++      |         38 |          0 |          8 |         46 |
| c:\cpp\cpp\abc\459\459_C_Drop Blocks.cpp                           | C++      |         39 |          0 |          7 |         46 |
