Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 513 files,  1605 codes, 20 comments, 403 blanks, all 2028 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        509 |      1,605 |         20 |        403 |      2,028 |
| Java     |          4 |          0 |          0 |          0 |          0 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\cpp\cpp\abc\451\451_B_Personnel Change.cpp                  | C++      |         19 |          0 |          3 |         22 |
| c:\cpp\cpp\abc\451\451_C_ Understory.cpp                       | C++      |         28 |          0 |          3 |         31 |
| c:\cpp\cpp\abc\451\451_D_ Concat Power of 2.cpp                | C++      |         48 |          0 |          9 |         57 |
| c:\cpp\cpp\abc\451\451_E_Tree Distance.cpp                     | C++      |         40 |          0 |         10 |         50 |
| c:\cpp\cpp\abc\451_A_illegal.cpp                               | C++      |        -11 |          0 |         -2 |        -13 |
| c:\cpp\cpp\abc\451_B_Personnel Change.cpp                      | C++      |        -19 |          0 |         -3 |        -22 |
| c:\cpp\cpp\abc\451_C_ Understory.cpp                           | C++      |        -28 |          0 |         -3 |        -31 |
| c:\cpp\cpp\abc\451_D_ Concat Power of 2.cpp                    | C++      |        -48 |          0 |         -9 |        -57 |
| c:\cpp\cpp\abc\451_E_Tree Distance.cpp                         | C++      |        -40 |          0 |        -10 |        -50 |
| c:\cpp\cpp\abc\452\452_A_Gothec.cpp                            | C++      |         11 |          0 |          2 |         13 |
| c:\cpp\cpp\abc\452\452_B_Draw Frame.cpp                        | C++      |         26 |          0 |          3 |         29 |
| c:\cpp\cpp\abc\452\452_C_Fishbones.cpp                         | C++      |         45 |          0 |         10 |         55 |
| c:\cpp\cpp\abc\452\452_D_ No-Subsequence Substring.cpp         | C++      |         48 |          0 |         12 |         60 |
| c:\cpp\cpp\abc\452_A_Gothec.cpp                                | C++      |        -11 |          0 |         -2 |        -13 |
| c:\cpp\cpp\abc\452_B_Draw Frame.cpp                            | C++      |        -26 |          0 |         -3 |        -29 |
| c:\cpp\cpp\abc\452_C_Fishbones.cpp                             | C++      |        -45 |          0 |        -10 |        -55 |
